,Title,Summary,Date,Time,Link
0,"Future Lifestyle, IndusInd, India Cements among last week’s 8 top buzzing stocks",The stock fell 3854 per cent for the week to Rs 346This stock led the rout on the banking counter last week The bank stock fell 4527 per cent on concerns that the cost of borrowing will rise following YES Bank’s fiasco The company insists it has no outstanding loans from Yes Bank The stock fell 4426 per cent for the week to Rs 9110The scrip plunged 4728 per cent to Rs 18705 last week This included a 20 per cent slide on Thursday and a 10 per cent drop on Friday,22-03-2020,11:20:00,https://news.google.com/articles/CAIiENZyXy6b8K9RaWKX76Ewwq0qGQgEKhAIACoHCAow2pqGCzD954MDMJzyigY?hl=en-IN&gl=IN&ceid=IN%3Aen
1,10 things you need to know before the opening bell on March 23,Asia Markets in Asia Pacific saw significant declines in Monday morning trade as fears over the economic impact of the global coronavirus outbreak continue to weigh heavily on investor sentiment South Korea stocks were among the biggest losers among major regional markets with the Kospi falling 559 percent in early trade Over in Australia the SPASX 200 dropped 573 percent in morning trade as the sectors mostly fell The Nikkei 225 in Japan bucked the overall trend regionally as it edged 06 percent higher while the Topix index also added 01 percent Overall the MSCI Asia exJapan index fell 172 percent,,,https://news.google.com/articles/CBMicWh0dHBzOi8vd3d3LmNuYmN0djE4LmNvbS9tYXJrZXQvc3RvY2tzLzEwLXRoaW5ncy15b3UtbmVlZC10by1rbm93LWJlZm9yZS10aGUtb3BlbmluZy1iZWxsLW9uLW1hcmNoLTIzLTU1MzM4MjEuaHRt0gF1aHR0cHM6Ly93d3cuY25iY3R2MTguY29tL21hcmtldC9zdG9ja3MvMTAtdGhpbmdzLXlvdS1uZWVkLXRvLWtub3ctYmVmb3JlLXRoZS1vcGVuaW5nLWJlbGwtb24tbWFyY2gtMjMtNTUzMzgyMS5odG0vYW1w?hl=en-IN&gl=IN&ceid=IN%3Aen
2,"Trading Halted For 45 Minutes As Sensex, Nifty Plunge 10% Amid Coronavirus Lockdowns",Mondays trading halt was a second within a period of seven trading sessions as world markets continued to suffer the worst selloff since the 200809 global financial crisis Trading will resume at 1058 am with a preopening session at 1043 am Also Read Recovery Will Take A Long Time Say AnalystsThe Nifty Bank index  comprising stocks of 12 major lenders in the country including heavyweights SBI HDFC Bank and ICICI Bank  was down 1274 per cent Besides Nifty Bank all other 10 sectoral indices on the National Stock Exchange suffered losses till the trading halt and so did all of the 50 components in the Nifty basket of shares The Sensex opened 230716 points lower at 2760880 and the Nifty started the day at 794570 down 79975 points from its previous close,,,https://news.google.com/articles/CAIiECFpTCDi_rcGdEP5Gt6cQRUqGQgEKhAIACoHCAowwJmVCzD5-KoDML_VxQY?hl=en-IN&gl=IN&ceid=IN%3Aen
3,"COVID-19 Fallout: Sensex Nosedives Over 2,500 Points As India Faces Lockdown",After sinking over 2718 points the BSE barometer was trading 243057 points or 812 per cent lower at 2748539 Similarly the NSE Nifty was trading 68235 points or 780 per cent down at 806310 Subscribe to India Today for NEW VIDEOS EVERY DAY and make sure to enable Push Notifications so youll never miss a new video India Today TV is Indias leading English News Channel India Today YouTube channel offers latest news videos on Politics Business Cricket Bollywood Lifestyle Auto Technology Travel Entertainment and a lot more,,,https://news.google.com/articles/CCAiC3d0MDF2S1U1T0xrmAEB?hl=en-IN&gl=IN&ceid=IN%3Aen
4,"Sebi, exchanges clarify markets to function normally on Monday",MUMBAI  The Securities and Exchange Board of India Sebi and exchanges on Sunday evening clarified that the markets would function normally on Monday In a statement NSE and BSE clarified that all the segments of exchanges would continue to work normally on Monday The regulator on Friday in a bid to curb volatility imposed curbs on short selling and sharply increased margins for both cash and derivatives segments The margins for volatile stocks will be increased to 40 by the end of the month in a phased manner The markets are braced for an eventful trade day on Monday as the volatile stocks about 1112 stocks are likely to enter into a futures and options ban period,22-03-2020,20:38:24,https://news.google.com/articles/CAIiEBE6wCVbyU3m5CvjJ8mm27kqFggEKg4IACoGCAowxLQ_MNevCDD45Co?hl=en-IN&gl=IN&ceid=IN%3Aen
5,Three reasons why stock markets cannot be shut despite a meltdown- The New Indian Express,Global markets have been on a roller coaster ride ever since the outbreak of Covid19 pandemic The uncertainty is enforcing automatic circuit breakers often however countries are standing by to keep financial markets open One a market lockdown leads to panic as traders wont have access to their assets Despite the endless global market rout no country has drawn out the curtains yet However to abnormally high volatility last week Sebi halved position limits for certain stock futures restricted shortselling of index derivatives and raised margin rates for some shares,,,https://news.google.com/articles/CBMihAFodHRwczovL3d3dy5uZXdpbmRpYW5leHByZXNzLmNvbS9idXNpbmVzcy8yMDIwL21hci8yMy90aHJlZS1yZWFzb25zLXdoeS1zdG9jay1tYXJrZXRzLWNhbm5vdC1iZS1zaHV0LWRlc3BpdGUtYS1tZWx0ZG93bi0yMTIwNDQ1Lmh0bWzSAYMBaHR0cHM6Ly93d3cubmV3aW5kaWFuZXhwcmVzcy5jb20vYnVzaW5lc3MvMjAyMC9tYXIvMjMvdGhyZWUtcmVhc29ucy13aHktc3RvY2stbWFya2V0cy1jYW5ub3QtYmUtc2h1dC1kZXNwaXRlLWEtbWVsdGRvd24tMjEyMDQ0NS5hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen
6,ANMI requests Sebi to classify stock brokers as essential services,No such clarifications or guidelines are being issued by other state governments said ANMI letter to Sebi“State Governments of Tamil Nadu Rajastan and Delhi have extended Janata Curfew upto March 31 2020 However there is no explicit guidelines or notifications issued by the state governments exempting capital markets and stock brokers ’ offices from the total lockdown”Sebi and exchanges have permitted trading via terminals from various locations This relaxation is taking care of front office staff of broking offices to work from home to 50 of potential however staff serving back offices servers and operational dependencies cannot be operated working from home according to brokers Thus it is imperative to declare capital markets stock broking services as essential Services exempted from lockdown said brokers“In All financial markets are integrated globally and India is playing a major part standing among the top 7 ranks globally in equity volumes Hence equity and derivatives markets cannot be shut down while global exchanges and financial markets are active and working around the world” ANMI statedOn Sunday Sebi clarified that all segments at the exchanges will operate as usual on Monday,23-03-2020,09:56:00,https://news.google.com/articles/CAIiEH55pUQjT01bST0zq2reSD8qGQgEKhAIACoHCAow2pqGCzD954MDMJzyigY?hl=en-IN&gl=IN&ceid=IN%3Aen
7,"NSE, BSE to operate as usual on Monday",All segments at the exchange will operate as usual on Monday Markets regulator Sebi and stock exchanges on Sunday said all segments of the bourses will operate normally on Monday BSE Managing Director and Chief Executive Officer Ashishkumar Chauhan said that all segments at the exchange will operate as usual on Monday In a statement the National Stock Exchange NSE also said all segments at the bourse will operate as usual on Monday However stock exchanges clearing corporations depositories stockbrokers and Sebiregistered participants operating through these institutions have been exempted from this,22-03-2020,21:28:43,https://news.google.com/articles/CAIiEJstfM9JCgp_WlEldfJIkIsqGQgEKhAIACoHCAow55veCjDzvdUBMOLc5gU?hl=en-IN&gl=IN&ceid=IN%3Aen
8,"Covid-19 update: Rupee tanks 95 paise, falls below 76 level against US dollar",Covid19 update Rupee tanks 95 paise falls below 76 level against US dollarbusinessUpdated Mar 23 2020 1006 ISTThe Indian rupee slipped further by 95 paise to 7615 against the US dollar in opening trade on Monday amid sharp rise in coronavirus cases in the country and heavy selling in domestic equities Forex traders said market participants are concerned that the sharp rise in coronavirus cases with nearly 400 cases in the country could weigh on the economy The total number of coronavirus cases in the country climbed to 390 according to the Union Health Ministry Brent crude futures the global oil benchmark fell 274 per cent to USD 2624 per barrel The dollar index which gauges the greenback’s strength against a basket of six currencies fell 052 per cent to 10228,23-03-2020,10:04:48,https://news.google.com/articles/CBMimgFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vYnVzaW5lc3MtbmV3cy9jb3ZpZC0xOS11cGRhdGUtcnVwZWUtdGFua3MtOTUtcGFpc2UtZmFsbHMtYmVsb3ctNzYtbGV2ZWwtYWdhaW5zdC11cy1kb2xsYXIvc3RvcnktYXVXS2NxYWFQcURTckltZ281OG1ETy5odG1s0gGcAWh0dHBzOi8vbS5oaW5kdXN0YW50aW1lcy5jb20vYnVzaW5lc3MtbmV3cy9jb3ZpZC0xOS11cGRhdGUtcnVwZWUtdGFua3MtOTUtcGFpc2UtZmFsbHMtYmVsb3ctNzYtbGV2ZWwtYWdhaW5zdC11cy1kb2xsYXIvc3RvcnktYXVXS2NxYWFQcURTckltZ281OG1ET19hbXAuaHRtbA?hl=en-IN&gl=IN&ceid=IN%3Aen
9,How to handle rupee volatility as coronavirus hits global market,Even though major countries have not put trade restrictions business of nonessential items have taken a major hit Indian Rupee has depreciated by 572 against the US Dollar since start of 2020 from 7122 to touch an alltime high of 7531 Indian exporters whose shipments are delayed due to the coronavirus effect could avail PCFC to utilize their near term maturing forward contracts Exporters who can carry out options should look at Risk Reversal strategies as the implied volatility for US Dollar Rupee has risen from 4 in January 2020 to 9 in March 2020 Importers should take back to back hedges against underlying exposure for the current and forthcoming month,23-03-2020,10:48:15,https://news.google.com/articles/CAIiEEkg4hv8NZH4PaJzdHZBS-UqGQgEKhAIACoHCAow55veCjDzvdUBMIPh5gU?hl=en-IN&gl=IN&ceid=IN%3Aen
